,C,HW,K,RS
722,256,32,1024,1
723,256,32,1024,11
724,256,32,1024,7
725,256,32,96,3
726,256,32,96,5
727,256,32,96,1
728,256,32,96,11
729,256,32,96,7
730,256,32,6,3
731,256,32,6,5
732,256,32,6,1
733,256,32,6,11
734,256,32,6,7
735,256,32,28,3
736,256,32,28,5
737,256,32,28,1
738,256,32,28,11
739,256,32,28,7
740,256,32,192,3
741,256,32,192,5
742,256,32,192,1
743,256,32,192,11
744,256,32,192,7
745,256,32,9,3
746,256,32,9,5
747,256,32,9,1
748,256,32,9,11
749,256,32,9,7
750,256,32,12,3
751,256,32,12,5
752,256,32,12,1
753,256,32,12,11
754,256,32,12,7
755,256,32,56,3
756,256,32,56,5
757,256,32,56,1
758,256,32,56,11
759,256,32,56,7
760,256,32,3,3
761,256,32,3,5
762,256,32,3,1
763,256,32,3,11
764,256,32,3,7
765,256,52,512,3
766,256,52,512,5
767,256,52,512,1
768,256,52,512,11
769,256,52,512,7
770,256,52,16,3
771,256,52,16,5
772,256,52,16,1
773,256,52,16,11
774,256,52,16,7
775,256,52,32,3
776,256,52,32,5
777,256,52,32,1
778,256,52,32,11
779,256,52,32,7
780,256,52,64,3
781,256,52,64,5
782,256,52,64,1
783,256,52,64,11
784,256,52,64,7
785,256,52,384,3
786,256,52,384,5
787,256,52,384,1
788,256,52,384,11
789,256,52,384,7
790,256,52,256,3
791,256,52,256,5
792,256,52,256,1
793,256,52,256,11
794,256,52,256,7
795,256,52,128,3
796,256,52,128,5
797,256,52,128,1
798,256,52,128,11
799,256,52,128,7
800,256,52,255,3
801,256,52,255,5
802,256,52,255,1
803,256,52,255,11
804,256,52,255,7
805,256,52,1024,3
806,256,52,1024,5
807,256,52,1024,1
808,256,52,1024,11
809,256,52,1024,7
810,256,52,96,3
811,256,52,96,5
812,256,52,96,1
813,256,52,96,11
814,256,52,96,7
815,256,52,6,3
816,256,52,6,5
817,256,52,6,1
818,256,52,6,11
819,256,52,6,7
820,256,52,28,3
821,256,52,28,5
822,256,52,28,1
823,256,52,28,11
824,256,52,28,7
825,256,52,192,3
826,256,52,192,5
827,256,52,192,1
828,256,52,192,11
829,256,52,192,7
830,256,52,9,3
831,256,52,9,5
832,256,52,9,1
833,256,52,9,11
834,256,52,9,7
835,256,52,12,3
836,256,52,12,5
837,256,52,12,1
838,256,52,12,11
839,256,52,12,7
840,256,52,56,3
841,256,52,56,5
842,256,52,56,1
843,256,52,56,11
844,256,52,56,7
845,256,52,3,3
846,256,52,3,5
847,256,52,3,1
848,256,52,3,11
849,256,52,3,7
850,256,56,512,3
851,256,56,512,5
852,256,56,512,1
853,256,56,512,11
854,256,56,512,7
855,256,56,16,3
856,256,56,16,5
857,256,56,16,1
858,256,56,16,11
859,256,56,16,7
860,256,56,32,3
861,256,56,32,5
862,256,56,32,1
863,256,56,32,11
864,256,56,32,7
865,256,56,64,3
866,256,56,64,5
867,256,56,64,1
868,256,56,64,11
869,256,56,64,7
870,256,56,384,3
871,256,56,384,5
872,256,56,384,1
873,256,56,384,11
874,256,56,384,7
875,256,56,256,3
876,256,56,256,5
877,256,56,256,1
878,256,56,256,11
879,256,56,256,7
880,256,56,128,3
881,256,56,128,5
882,256,56,128,1
883,256,56,128,11
884,256,56,128,7
885,256,56,255,3
886,256,56,255,5
887,256,56,255,1
888,256,56,255,11
889,256,56,255,7
890,256,56,1024,3
891,256,56,1024,5
892,256,56,1024,1
893,256,56,1024,11
894,256,56,1024,7
895,256,56,96,3
896,256,56,96,5
897,256,56,96,1
898,256,56,96,11
899,256,56,96,7
900,256,56,6,3
901,256,56,6,5
902,256,56,6,1
903,256,56,6,11
904,256,56,6,7
905,256,56,28,3
906,256,56,28,5
907,256,56,28,1
908,256,56,28,11
909,256,56,28,7
910,256,56,192,3
911,256,56,192,5
912,256,56,192,1
913,256,56,192,11
914,256,56,192,7
915,256,56,9,3
916,256,56,9,5
917,256,56,9,1
918,256,56,9,11
919,256,56,9,7
920,256,56,12,3
921,256,56,12,5
922,256,56,12,1
923,256,56,12,11
924,256,56,12,7
925,256,56,56,3
926,256,56,56,5
927,256,56,56,1
928,256,56,56,11
929,256,56,56,7
930,256,56,3,3
931,256,56,3,5
932,256,56,3,1
933,256,56,3,11
934,256,56,3,7
935,256,64,512,3
936,256,64,512,5
937,256,64,512,1
938,256,64,512,11
939,256,64,512,7
940,256,64,16,3
941,256,64,16,5
942,256,64,16,1
943,256,64,16,11
944,256,64,16,7
945,256,64,32,3
946,256,64,32,5
947,256,64,32,1
948,256,64,32,11
949,256,64,32,7
950,256,64,64,3
951,256,64,64,5
952,256,64,64,1
953,256,64,64,11
954,256,64,64,7
955,256,64,384,3
956,256,64,384,5
957,256,64,384,1
958,256,64,384,11
959,256,64,384,7
960,256,64,256,3
961,256,64,256,5
962,256,64,256,1
963,256,64,256,11
964,256,64,256,7
